trainId,sample,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/12/L_MANAGER.0.PID.0.D_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/13/L_MANAGER.0.PID.0.I_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/14/L_MANAGER.0.PID.0.P_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/15/L_MANAGER.0.PID.1.D_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/16/L_MANAGER.0.PID.1.I_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/17/L_MANAGER.0.PID.1.P_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/18/L_MANAGER.0.PID.2.D_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/19/L_MANAGER.0.PID.2.I_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/20/L_MANAGER.0.PID.2.P_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/21/L_MANAGER.0.PID.3.D_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/22/L_MANAGER.0.PID.3.I_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XTIN.MLO1.CTRL_MGR.CFG/23/L_MANAGER.0.PID.3.P_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/12/L_MANAGER.0.PID.0.D_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/13/L_MANAGER.0.PID.0.I_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/14/L_MANAGER.0.PID.0.P_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/15/L_MANAGER.0.PID.1.D_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/16/L_MANAGER.0.PID.1.I_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/17/L_MANAGER.0.PID.1.P_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/18/L_MANAGER.0.PID.2.D_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/19/L_MANAGER.0.PID.2.I_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/20/L_MANAGER.0.PID.2.P_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/21/L_MANAGER.0.PID.3.D_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/22/L_MANAGER.0.PID.3.I_PARAM.WR,XFEL.SYNC/LASER.LOCK.XLO.DAQ/XHEXP1.SLO1.CTRL_MGR.CFG/23/L_MANAGER.0.PID.3.P_PARAM.WR,XFEL.SYNC/LINK.LOCK.DAQ/XHEXP1.AMC5.CONTROLLER.LSU.0.CTRL.CFG/25/CTRL.PI_CTRL_I_PARAM.REG.RD,XFEL.SYNC/LINK.LOCK.DAQ/XHEXP1.AMC5.CONTROLLER.LSU.0.CTRL.CFG/26/CTRL.PI_CTRL_I_PARAM.REG.WR,XFEL.SYNC/LINK.LOCK.DAQ/XHEXP1.AMC5.CONTROLLER.LSU.0.CTRL.CFG/27/CTRL.PI_CTRL_P_PARAM.REG.RD,XFEL.SYNC/LINK.LOCK.DAQ/XHEXP1.AMC5.CONTROLLER.LSU.0.CTRL.CFG/28/CTRL.PI_CTRL_P_PARAM.REG.WR
1373471926,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373472086,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373472246,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373472406,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373472566,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373472726,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373472886,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373473047,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373473207,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373473367,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373473527,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373473687,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373473847,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373474007,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
1373474167,0.0,0.0,-0.001,-1.0,0.0,-0.06,-15.0,0.0,-0.004,-1.0,0.0,0.0,0.0,0.0,-0.0015,-1.5,0.0,-0.006,-6.0,0.0,0.001,4.5,0.0,-0.005,-2.0,-0.0010000467,-0.001,-0.003000021,-0.003
